Headline,Category
Путин призвал свести к минимуму последствия террористических ударов Киева,Политика
Министры и руководители энергокомпаний участвуют в совещании у Путина по топливу,Экономика
Путин поручил приложить усилия для соблюдения графиков поставок топлива для АПК,Экономика
Путин назвал экономически обоснованные цены в числе мер для стабилизации топливного рынка,Экономика
Путин провел совещание по обеспечению топливом внутреннего рынка. Трансляция завершена,Экономика
Путин: правительственный штаб по ситуации с топливом работает в круглосуточном режиме,Экономика
Путин поручил принять системные меры по стабилизации топливного рынка,Экономика
"Путин: очереди на заправках есть, и нужные марки бензина не всегда в наличии",Экономика
Путин: обсуждается возможность полного запрета на экспорт дизельного топлива,Экономика
Путин: запасы бензина почти соответствует уровню 2025 года,Экономика
Путин: Россия начала использовать резервы топлива,Экономика
"Путин: запасы бензина в РФ составляют 1,7 млн тонн",Экономика
Путин: на внутренний рынок РФ поступили ранее накопленные объемы топлива,Экономика
Путин: в июле производство основных видов топлива должно превысить июньские показатели,Экономика
Путин провел совещание по обеспечению топливом внутреннего рынка,Экономика
Путин: мощности крупнейших НПЗ используются по-максимуму,Экономика
Путин предложил обсудить дополнительные шаги по бесперебойному обеспечению топливом,Экономика
Военная операция на Украине. Онлайн,Конфликты
В Чехии вновь обновился температурный рекорд,Погода
"Федеральный список и регионы. Кого ""Единая Россия"" выдвинула на выборы в Госдуму",Политика
11 федераций обратились в European Gymnastics с просьбой отменить символы РФ,Спорт
"МИД Финляндии заявил, что время для переговоров ЕС с Россией еще не пришло",Политика
Канчельскис назвал провалом выступление азиатских сборных на ЧМ-2026,Спорт
"Медведев назвал лидеров списка ""Единой России"" патриотами страны",Политика
В Бугуруслане подтопленными остаются 97 участков,ЧП
"Приумножение народа, список кандидатов в Думу и единство страны. Медведев на съезде ЕР",Политика
Участник СВО сделал предложение руки и сердца девушке на съезде ЕР,Общество
AFP: авиакатастрофа во Франции стала крупнейшей в частной авиации страны,ЧП
"Axios: между ВС США и КСИР так и не запустили ""горячую линию""",Политика
Губернаторы возглавили шесть реггрупп единороссов в СФО на выборах в Госдуму,Политика
Названный в честь россиянина астероид Sergeyyazev находится далеко от Земли,Наука
"Медведев: второй этап съезда ""Единой России"" пройдет 22 августа",Политика
"""Единая Россия"" выдвинула кандидатов на выборы в Госдуму",Политика
"Медведев накануне съезда встретился с пятеркой ""Единой России""",Политика
В окрестностях Харькова произошел взрыв,ЧП
"Шесть глав субъектов СКФО возглавили региональные группы ""Единой России""",Политика
"Чибис и Дрозденко возглавили региональные группы ""Единой России"" на выборах в ГД",Политика
"Минниханов, Никитин и Здунов возглавят реггруппы на выборах в ГД в Поволжье",Политика
В Тульской области объявили угрозу атаки БПЛА,ЧП
В Вене во второй раз за день установлен новый температурный рекорд,Погода
Володин возглавит региональную группу на выборах в Госдуму по Саратовской области,Политика
В аэропорту Калуги ввели временные ограничения,Транспорт
В Польше установлен новый температурный рекорд,Погода
"Медведев предложил аплодисментами поддержать Якушева, зачитавшего более 600 имен",Политика
В БРИКС видят рост интереса к русской культуре,Культура
"ТАСС: вошедшие в списки ЕР губернаторы могут передать мандаты ГД, если победят",Политика
"Медведев на съезде ""Единой России"" поздравил Хасикова с днем рождения",Политика
The Observer: лейборист Милибэнд может вернуться на пост главы МИД Британии,Политика
"Слуцкий посоветовал Сикорскому ""не сотрясать воздух воинственной риторикой""",Политика
Сальдо назвал единственный способ обеспечить безопасность для Херсонской области,Политика
В Горловке после атаки дрона ВСУ пострадала женщина,ЧП
"В ФРГ зафиксировали экстремальную жару в 41,7 градуса",Погода
Республика Корея заявила протест КНР и РФ из-за воздушного патрулирования,Политика
"Ковальчук возглавит региональный список ""Единой России"" на выборах в Госдуму",Политика
Трамп ознакомился с ходом реставрационных работ в Вашингтоне,Политика
Аксенов и Развожаев возглавили региональную группу ЕР на выборах в Госдуму,Политика
Ирак заявил о готовности принять встречу Ирана и арабских стран Персидского залива,Политика
"Шуваев возглавит белгородский список кандидатов ГД от ""Единой России"" на выборах",Политика
"Поддубный: Запад прекрасно понимает, что победить Россию на поле боя невозможно",Политика
